State,Year,Crime_Type,Cases,Female_Population,Crime_Rate,Literacy_Rate,Urban_Percent,Unemployment_Rate,Avg_Income,Police_Stations,Conviction_Rate,Reporting_Rate,Population_Density,Latitude,Longitude
Uttar Pradesh,2018,Rape,2185,70682867,3.09,75.95,29.36,4.4,218266,1682,63.31,77.05,230,33.67,89.23
Uttar Pradesh,2018,Domestic Violence,1269,70682867,1.8,75.95,29.36,4.4,218266,1682,63.31,77.05,230,33.67,89.23
Uttar Pradesh,2018,Kidnapping,7449,70682867,10.54,75.95,29.36,4.4,218266,1682,63.31,77.05,230,33.67,89.23
Uttar Pradesh,2018,Harassment,2933,70682867,4.15,75.95,29.36,4.4,218266,1682,63.31,77.05,230,33.67,89.23
Uttar Pradesh,2018,Dowry Deaths,5811,70682867,8.22,75.95,29.36,4.4,218266,1682,63.31,77.05,230,33.67,89.23
Uttar Pradesh,2018,Acid Attack,5551,70682867,7.85,75.95,29.36,4.4,218266,1682,63.31,77.05,230,33.67,89.23
Uttar Pradesh,2018,Cyber Crime,6920,70682867,9.79,75.95,29.36,4.4,218266,1682,63.31,77.05,230,33.67,89.23
Uttar Pradesh,2018,Stalking,1684,70682867,2.38,75.95,29.36,4.4,218266,1682,63.31,77.05,230,33.67,89.23
Uttar Pradesh,2019,Rape,9667,72096524,13.41,65.65,51.49,6.89,180608,674,50.59,56.28,799,33.67,89.23
Uttar Pradesh,2019,Domestic Violence,689,72096524,0.96,65.65,51.49,6.89,180608,674,50.59,56.28,799,33.67,89.23
Uttar Pradesh,2019,Kidnapping,3234,72096524,4.49,65.65,51.49,6.89,180608,674,50.59,56.28,799,33.67,89.23
Uttar Pradesh,2019,Harassment,3505,72096524,4.86,65.65,51.49,6.89,180608,674,50.59,56.28,799,33.67,89.23
Uttar Pradesh,2019,Dowry Deaths,5158,72096524,7.15,65.65,51.49,6.89,180608,674,50.59,56.28,799,33.67,89.23
Uttar Pradesh,2019,Acid Attack,2399,72096524,3.33,65.65,51.49,6.89,180608,674,50.59,56.28,799,33.67,89.23
Uttar Pradesh,2019,Cyber Crime,8234,72096524,11.42,65.65,51.49,6.89,180608,674,50.59,56.28,799,33.67,89.23
Uttar Pradesh,2019,Stalking,1767,72096524,2.45,65.65,51.49,6.89,180608,674,50.59,56.28,799,33.67,89.23
Uttar Pradesh,2020,Rape,8933,73510181,12.15,75.73,22.79,8.47,277348,2414,20.66,92.4,113,33.67,89.23
Uttar Pradesh,2020,Domestic Violence,8013,73510181,10.9,75.73,22.79,8.47,277348,2414,20.66,92.4,113,33.67,89.23
Uttar Pradesh,2020,Kidnapping,3112,73510181,4.23,75.73,22.79,8.47,277348,2414,20.66,92.4,113,33.67,89.23
Uttar Pradesh,2020,Harassment,7541,73510181,10.26,75.73,22.79,8.47,277348,2414,20.66,92.4,113,33.67,89.23
Uttar Pradesh,2020,Dowry Deaths,6735,73510181,9.16,75.73,22.79,8.47,277348,2414,20.66,92.4,113,33.67,89.23
Uttar Pradesh,2020,Acid Attack,5986,73510181,8.14,75.73,22.79,8.47,277348,2414,20.66,92.4,113,33.67,89.23
Uttar Pradesh,2020,Cyber Crime,7599,73510181,10.34,75.73,22.79,8.47,277348,2414,20.66,92.4,113,33.67,89.23
Uttar Pradesh,2020,Stalking,1275,73510181,1.73,75.73,22.79,8.47,277348,2414,20.66,92.4,113,33.67,89.23
Uttar Pradesh,2021,Rape,7373,74923839,9.84,56.2,74.56,5.33,250551,1221,46.0,74.6,802,33.67,89.23
Uttar Pradesh,2021,Domestic Violence,6175,74923839,8.24,56.2,74.56,5.33,250551,1221,46.0,74.6,802,33.67,89.23
Uttar Pradesh,2021,Kidnapping,661,74923839,0.88,56.2,74.56,5.33,250551,1221,46.0,74.6,802,33.67,89.23
Uttar Pradesh,2021,Harassment,4797,74923839,6.4,56.2,74.56,5.33,250551,1221,46.0,74.6,802,33.67,89.23
Uttar Pradesh,2021,Dowry Deaths,1495,74923839,2.0,56.2,74.56,5.33,250551,1221,46.0,74.6,802,33.67,89.23
Uttar Pradesh,2021,Acid Attack,8129,74923839,10.85,56.2,74.56,5.33,250551,1221,46.0,74.6,802,33.67,89.23
Uttar Pradesh,2021,Cyber Crime,9967,74923839,13.3,56.2,74.56,5.33,250551,1221,46.0,74.6,802,33.67,89.23
Uttar Pradesh,2021,Stalking,1516,74923839,2.02,56.2,74.56,5.33,250551,1221,46.0,74.6,802,33.67,89.23
Uttar Pradesh,2022,Rape,9071,76337496,11.88,88.64,70.67,9.73,132798,1276,49.34,93.44,287,33.67,89.23
Uttar Pradesh,2022,Domestic Violence,9184,76337496,12.03,88.64,70.67,9.73,132798,1276,49.34,93.44,287,33.67,89.23
Uttar Pradesh,2022,Kidnapping,7708,76337496,10.1,88.64,70.67,9.73,132798,1276,49.34,93.44,287,33.67,89.23
Uttar Pradesh,2022,Harassment,5776,76337496,7.57,88.64,70.67,9.73,132798,1276,49.34,93.44,287,33.67,89.23
Uttar Pradesh,2022,Dowry Deaths,2562,76337496,3.36,88.64,70.67,9.73,132798,1276,49.34,93.44,287,33.67,89.23
Uttar Pradesh,2022,Acid Attack,564,76337496,0.74,88.64,70.67,9.73,132798,1276,49.34,93.44,287,33.67,89.23
Uttar Pradesh,2022,Cyber Crime,8506,76337496,11.14,88.64,70.67,9.73,132798,1276,49.34,93.44,287,33.67,89.23
Uttar Pradesh,2022,Stalking,3068,76337496,4.02,88.64,70.67,9.73,132798,1276,49.34,93.44,287,33.67,89.23
Uttar Pradesh,2023,Rape,6392,77751153,8.22,82.03,31.92,3.05,186330,1722,55.34,82.81,388,33.67,89.23
Uttar Pradesh,2023,Domestic Violence,4061,77751153,5.22,82.03,31.92,3.05,186330,1722,55.34,82.81,388,33.67,89.23
Uttar Pradesh,2023,Kidnapping,6684,77751153,8.6,82.03,31.92,3.05,186330,1722,55.34,82.81,388,33.67,89.23
Uttar Pradesh,2023,Harassment,3599,77751153,4.63,82.03,31.92,3.05,186330,1722,55.34,82.81,388,33.67,89.23
Uttar Pradesh,2023,Dowry Deaths,6778,77751153,8.72,82.03,31.92,3.05,186330,1722,55.34,82.81,388,33.67,89.23
Uttar Pradesh,2023,Acid Attack,8892,77751153,11.44,82.03,31.92,3.05,186330,1722,55.34,82.81,388,33.67,89.23
Uttar Pradesh,2023,Cyber Crime,3604,77751153,4.64,82.03,31.92,3.05,186330,1722,55.34,82.81,388,33.67,89.23
Uttar Pradesh,2023,Stalking,7715,77751153,9.92,82.03,31.92,3.05,186330,1722,55.34,82.81,388,33.67,89.23
Maharashtra,2018,Rape,7410,59079037,12.54,77.31,73.23,7.25,163252,1685,62.45,82.48,602,16.78,89.16
Maharashtra,2018,Domestic Violence,9562,59079037,16.19,77.31,73.23,7.25,163252,1685,62.45,82.48,602,16.78,89.16
Maharashtra,2018,Kidnapping,7438,59079037,12.59,77.31,73.23,7.25,163252,1685,62.45,82.48,602,16.78,89.16
Maharashtra,2018,Harassment,4988,59079037,8.44,77.31,73.23,7.25,163252,1685,62.45,82.48,602,16.78,89.16
Maharashtra,2018,Dowry Deaths,706,59079037,1.2,77.31,73.23,7.25,163252,1685,62.45,82.48,602,16.78,89.16
Maharashtra,2018,Acid Attack,5634,59079037,9.54,77.31,73.23,7.25,163252,1685,62.45,82.48,602,16.78,89.16
Maharashtra,2018,Cyber Crime,6477,59079037,10.96,77.31,73.23,7.25,163252,1685,62.45,82.48,602,16.78,89.16
Maharashtra,2018,Stalking,8221,59079037,13.92,77.31,73.23,7.25,163252,1685,62.45,82.48,602,16.78,89.16
Maharashtra,2019,Rape,8074,60260617,13.4,70.38,32.1,11.06,172096,763,48.16,81.3,584,16.78,89.16
Maharashtra,2019,Domestic Violence,6874,60260617,11.41,70.38,32.1,11.06,172096,763,48.16,81.3,584,16.78,89.16
Maharashtra,2019,Kidnapping,7392,60260617,12.27,70.38,32.1,11.06,172096,763,48.16,81.3,584,16.78,89.16
Maharashtra,2019,Harassment,2178,60260617,3.61,70.38,32.1,11.06,172096,763,48.16,81.3,584,16.78,89.16
Maharashtra,2019,Dowry Deaths,3742,60260617,6.21,70.38,32.1,11.06,172096,763,48.16,81.3,584,16.78,89.16
Maharashtra,2019,Acid Attack,5136,60260617,8.52,70.38,32.1,11.06,172096,763,48.16,81.3,584,16.78,89.16
Maharashtra,2019,Cyber Crime,1559,60260617,2.59,70.38,32.1,11.06,172096,763,48.16,81.3,584,16.78,89.16
Maharashtra,2019,Stalking,7168,60260617,11.89,70.38,32.1,11.06,172096,763,48.16,81.3,584,16.78,89.16
Maharashtra,2020,Rape,4127,61442198,6.72,57.69,37.39,4.45,93585,2929,60.41,78.5,745,16.78,89.16
Maharashtra,2020,Domestic Violence,5950,61442198,9.68,57.69,37.39,4.45,93585,2929,60.41,78.5,745,16.78,89.16
Maharashtra,2020,Kidnapping,2163,61442198,3.52,57.69,37.39,4.45,93585,2929,60.41,78.5,745,16.78,89.16
Maharashtra,2020,Harassment,6092,61442198,9.92,57.69,37.39,4.45,93585,2929,60.41,78.5,745,16.78,89.16
Maharashtra,2020,Dowry Deaths,7892,61442198,12.84,57.69,37.39,4.45,93585,2929,60.41,78.5,745,16.78,89.16
Maharashtra,2020,Acid Attack,1806,61442198,2.94,57.69,37.39,4.45,93585,2929,60.41,78.5,745,16.78,89.16
Maharashtra,2020,Cyber Crime,7276,61442198,11.84,57.69,37.39,4.45,93585,2929,60.41,78.5,745,16.78,89.16
Maharashtra,2020,Stalking,6364,61442198,10.36,57.69,37.39,4.45,93585,2929,60.41,78.5,745,16.78,89.16
Maharashtra,2021,Rape,1791,62623779,2.86,65.67,29.88,7.81,169101,1457,36.88,92.43,541,16.78,89.16
Maharashtra,2021,Domestic Violence,4081,62623779,6.52,65.67,29.88,7.81,169101,1457,36.88,92.43,541,16.78,89.16
Maharashtra,2021,Kidnapping,8054,62623779,12.86,65.67,29.88,7.81,169101,1457,36.88,92.43,541,16.78,89.16
Maharashtra,2021,Harassment,7780,62623779,12.42,65.67,29.88,7.81,169101,1457,36.88,92.43,541,16.78,89.16
Maharashtra,2021,Dowry Deaths,2136,62623779,3.41,65.67,29.88,7.81,169101,1457,36.88,92.43,541,16.78,89.16
Maharashtra,2021,Acid Attack,4196,62623779,6.7,65.67,29.88,7.81,169101,1457,36.88,92.43,541,16.78,89.16
Maharashtra,2021,Cyber Crime,1198,62623779,1.91,65.67,29.88,7.81,169101,1457,36.88,92.43,541,16.78,89.16
Maharashtra,2021,Stalking,5237,62623779,8.36,65.67,29.88,7.81,169101,1457,36.88,92.43,541,16.78,89.16
Maharashtra,2022,Rape,5431,63805359,8.51,69.39,21.98,6.11,105680,1861,27.24,72.03,346,16.78,89.16
Maharashtra,2022,Domestic Violence,4010,63805359,6.28,69.39,21.98,6.11,105680,1861,27.24,72.03,346,16.78,89.16
Maharashtra,2022,Kidnapping,702,63805359,1.1,69.39,21.98,6.11,105680,1861,27.24,72.03,346,16.78,89.16
Maharashtra,2022,Harassment,4718,63805359,7.39,69.39,21.98,6.11,105680,1861,27.24,72.03,346,16.78,89.16
Maharashtra,2022,Dowry Deaths,9458,63805359,14.82,69.39,21.98,6.11,105680,1861,27.24,72.03,346,16.78,89.16
Maharashtra,2022,Acid Attack,4889,63805359,7.66,69.39,21.98,6.11,105680,1861,27.24,72.03,346,16.78,89.16
Maharashtra,2022,Cyber Crime,2827,63805359,4.43,69.39,21.98,6.11,105680,1861,27.24,72.03,346,16.78,89.16
Maharashtra,2022,Stalking,8504,63805359,13.33,69.39,21.98,6.11,105680,1861,27.24,72.03,346,16.78,89.16
Maharashtra,2023,Rape,1159,64986940,1.78,77.13,58.01,7.82,130623,2391,61.77,64.44,563,16.78,89.16
Maharashtra,2023,Domestic Violence,3311,64986940,5.09,77.13,58.01,7.82,130623,2391,61.77,64.44,563,16.78,89.16
Maharashtra,2023,Kidnapping,7598,64986940,11.69,77.13,58.01,7.82,130623,2391,61.77,64.44,563,16.78,89.16
Maharashtra,2023,Harassment,7046,64986940,10.84,77.13,58.01,7.82,130623,2391,61.77,64.44,563,16.78,89.16
Maharashtra,2023,Dowry Deaths,2486,64986940,3.83,77.13,58.01,7.82,130623,2391,61.77,64.44,563,16.78,89.16
Maharashtra,2023,Acid Attack,8838,64986940,13.6,77.13,58.01,7.82,130623,2391,61.77,64.44,563,16.78,89.16
Maharashtra,2023,Cyber Crime,3411,64986940,5.25,77.13,58.01,7.82,130623,2391,61.77,64.44,563,16.78,89.16
Maharashtra,2023,Stalking,2234,64986940,3.44,77.13,58.01,7.82,130623,2391,61.77,64.44,563,16.78,89.16
West Bengal,2018,Rape,6787,82809459,8.2,73.12,70.26,9.08,254728,2720,30.45,74.37,362,33.39,79.53
West Bengal,2018,Domestic Violence,9315,82809459,11.25,73.12,70.26,9.08,254728,2720,30.45,74.37,362,33.39,79.53
West Bengal,2018,Kidnapping,9708,82809459,11.72,73.12,70.26,9.08,254728,2720,30.45,74.37,362,33.39,79.53
West Bengal,2018,Harassment,2549,82809459,3.08,73.12,70.26,9.08,254728,2720,30.45,74.37,362,33.39,79.53
West Bengal,2018,Dowry Deaths,5923,82809459,7.15,73.12,70.26,9.08,254728,2720,30.45,74.37,362,33.39,79.53
West Bengal,2018,Acid Attack,5048,82809459,6.1,73.12,70.26,9.08,254728,2720,30.45,74.37,362,33.39,79.53
West Bengal,2018,Cyber Crime,3608,82809459,4.36,73.12,70.26,9.08,254728,2720,30.45,74.37,362,33.39,79.53
